,Model A,Model B,Step,Score
0,vit_tiny_patch16_224.augreg_in21k,vit_small_patch16_224.augreg_in21k,0,0.594480037689209
1,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_224.augreg_in21k,0,0.6164000034332275
2,vit_tiny_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,0,0.5971199870109558
3,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_224.mae,0,0.3473599851131439
4,vit_tiny_patch16_224.augreg_in21k,vit_large_patch16_224.mae,0,0.4930399954319
5,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,0,0.47568002343177795
6,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,0,0.5906400084495544
7,vit_tiny_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,0,0.5529599785804749
8,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,0,0.5384799838066101
9,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,0,0.5803200006484985
10,vit_tiny_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,0,0.5596000552177429
11,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,0,0.5411199927330017
12,vit_small_patch16_224.augreg_in21k,vit_base_patch16_224.augreg_in21k,0,0.6184000372886658
13,vit_small_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,0,0.5879999399185181
14,vit_small_patch16_224.augreg_in21k,vit_base_patch16_224.mae,0,0.3173600137233734
15,vit_small_patch16_224.augreg_in21k,vit_large_patch16_224.mae,0,0.4476799964904785
16,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,0,0.43960005044937134
17,vit_small_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,0,0.5224799513816833
18,vit_small_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,0,0.5028799772262573
19,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,0,0.4886399805545807
20,vit_small_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,0,0.5532800555229187
