Combination,Checkpoint,Score
1.4b-160m,step0,0.290710985660553
14m-1b,step0,0.29107800126075745
14m-160m,step0,0.2876834571361542
14m-410m,step0,0.3041054904460907
1.4b-70m,step0,0.285504549741745
1.4b-1b,step0,0.4651605784893036
1.4b-410m,step0,0.2990596294403076
1.4b-14m,step0,0.2907339334487915
14m-70m,step0,0.30694955587387085
160m-1b,step0,0.2966972589492798
160m-70m,step0,0.2808257043361664
1b-70m,step0,0.28456422686576843
160m-410m,step0,0.30587154626846313
1b-410m,step0,0.2927751839160919
1.4b-160m,step0,0.290710985660553
410m-70m,step0,0.29369261860847473
1.4b-14m,step0,0.2907339334487915
1.4b-1b,step0,0.4651605784893036
1.4b-410m,step0,0.2990596294403076
14m-410m,step0,0.3041054904460907
1.4b-70m,step0,0.285504549741745
14m-70m,step0,0.30694955587387085
14m-1b,step0,0.29107800126075745
14m-160m,step0,0.2876834571361542
160m-70m,step0,0.2808257043361664
160m-410m,step0,0.30587154626846313
160m-1b,step0,0.2966972589492798
1b-70m,step0,0.28456422686576843
410m-70m,step0,0.29369261860847473
1.4b-160m,step1000,0.45121559500694275
1.4b-14m,step1000,0.37488532066345215
1b-410m,step0,0.2927751839160919
1.4b-70m,step1000,0.4362843930721283
1.4b-410m,step1000,0.41683486104011536
1.4b-1b,step1000,0.46527522802352905
14m-160m,step1000,0.3741742670536041
14m-1b,step1000,0.3625229299068451
14m-410m,step1000,0.39309629797935486
160m-410m,step1000,0.4322018027305603
160m-1b,step1000,0.45075687766075134
14m-70m,step1000,0.3848394453525543
160m-70m,step1000,0.44215595722198486
410m-70m,step1000,0.4227752089500427
1.4b-160m,step1000,0.45121559500694275
1b-70m,step1000,0.439931184053421
1b-410m,step1000,0.40185779333114624
1.4b-1b,step1000,0.46527522802352905
1.4b-410m,step1000,0.41683486104011536
1.4b-14m,step1000,0.37488532066345215
14m-160m,step1000,0.3741742670536041
1.4b-70m,step1000,0.4362843930721283
14m-70m,step1000,0.3848394453525543
14m-1b,step1000,0.3625229299068451
14m-410m,step1000,0.39309629797935486
160m-410m,step1000,0.4322018027305603
160m-1b,step1000,0.45075687766075134
160m-70m,step1000,0.44215595722198486
410m-70m,step1000,0.4227752089500427
1.4b-14m,step8000,0.43518346548080444
1.4b-410m,step8000,0.44887611269950867
1b-410m,step1000,0.40185779333114624
1b-70m,step1000,0.439931184053421
1.4b-160m,step8000,0.4599311649799347
1.4b-1b,step8000,0.46346327662467957
1.4b-70m,step8000,0.5061467885971069
14m-160m,step8000,0.3999541401863098
14m-1b,step8000,0.39928898215293884
14m-410m,step8000,0.4063073694705963
14m-70m,step8000,0.47440364956855774
160m-410m,step8000,0.3962614834308624
160m-1b,step8000,0.4105733335018158
160m-70m,step8000,0.4440596103668213
410m-70m,step8000,0.44325685501098633
1b-70m,step8000,0.44071099162101746
1b-410m,step8000,0.3935779631137848
1.4b-14m,step8000,0.43518346548080444
1.4b-160m,step8000,0.4599311649799347
1.4b-1b,step8000,0.46346327662467957
1.4b-410m,step8000,0.44887611269950867
14m-160m,step8000,0.3999541401863098
1.4b-70m,step8000,0.5061467885971069
14m-1b,step8000,0.39928898215293884
14m-70m,step8000,0.47440364956855774
14m-410m,step8000,0.4063073694705963
160m-70m,step8000,0.4440596103668213
160m-410m,step8000,0.3962614834308624
160m-1b,step8000,0.4105733335018158
1b-410m,step8000,0.3935779631137848
410m-70m,step8000,0.44325685501098633
1b-70m,step8000,0.44071099162101746
1.4b-14m,step15000,0.4462614357471466
1.4b-160m,step15000,0.4299541413784027
1.4b-1b,step15000,0.44266054034233093
14m-160m,step15000,0.42846331000328064
1.4b-70m,step15000,0.490114688873291
1.4b-410m,step15000,0.4752293825149536
14m-1b,step15000,0.39779818058013916
14m-410m,step15000,0.48006880283355713
14m-70m,step15000,0.5099770426750183
160m-1b,step15000,0.40194955468177795
160m-70m,step15000,0.46956419944763184
1b-410m,step15000,0.4301605224609375
160m-410m,step15000,0.4632798433303833
410m-70m,step15000,0.4965367019176483
1b-70m,step15000,0.43830275535583496
1.4b-160m,step15000,0.4299541413784027
1.4b-14m,step15000,0.4462614357471466
1.4b-410m,step15000,0.4752293825149536
1.4b-70m,step15000,0.490114688873291
1.4b-1b,step15000,0.44266054034233093
14m-160m,step15000,0.42846331000328064
14m-410m,step15000,0.48006880283355713
14m-1b,step15000,0.39779818058013916
14m-70m,step15000,0.5099770426750183
160m-1b,step15000,0.40194955468177795
160m-410m,step15000,0.4632798433303833
1b-410m,step15000,0.4301605224609375
160m-70m,step15000,0.46956419944763184
1.4b-14m,step22000,0.44027525186538696
410m-70m,step15000,0.4965367019176483
1b-70m,step15000,0.43830275535583496
1.4b-160m,step22000,0.4595412611961365
1.4b-1b,step22000,0.3652293384075165
1.4b-410m,step22000,0.46298161149024963
1.4b-70m,step22000,0.4047018587589264
14m-410m,step22000,0.41912841796875
14m-160m,step22000,0.4412844181060791
14m-1b,step22000,0.4156422019004822
14m-70m,step22000,0.4358257055282593
160m-1b,step22000,0.4325917661190033
160m-70m,step22000,0.39504584670066833
160m-410m,step22000,0.4492660164833069
410m-70m,step22000,0.4204816222190857
1b-70m,step22000,0.42424312233924866
1b-410m,step22000,0.441055029630661
14m-160m,step29000,0.41405966877937317
1.4b-160m,step29000,0.42823392152786255
1.4b-70m,step29000,0.45516058802604675
1.4b-1b,step29000,0.5080505013465881
1.4b-410m,step29000,0.5004128217697144
1.4b-14m,step29000,0.40025225281715393
14m-410m,step29000,0.3710780143737793
14m-1b,step29000,0.3991512954235077
14m-70m,step29000,0.40639910101890564
160m-70m,step29000,0.456146776676178
160m-410m,step29000,0.45279815793037415
160m-1b,step29000,0.44704124331474304
1.4b-14m,step29000,0.40025225281715393
410m-70m,step29000,0.4920412600040436
1b-410m,step29000,0.4723852872848511
1.4b-160m,step29000,0.42823392152786255
1b-70m,step29000,0.47933483123779297
1.4b-70m,step29000,0.45516058802604675
14m-160m,step29000,0.41405966877937317
1.4b-410m,step29000,0.5004128217697144
1.4b-1b,step29000,0.5080505013465881
14m-410m,step29000,0.3710780143737793
14m-70m,step29000,0.40639910101890564
160m-1b,step29000,0.44704124331474304
14m-1b,step29000,0.3991512954235077
160m-410m,step29000,0.45279815793037415
410m-70m,step29000,0.4920412600040436
1.4b-14m,step36000,0.38502293825149536
160m-70m,step29000,0.456146776676178
1b-410m,step29000,0.4723852872848511
1b-70m,step29000,0.47933483123779297
1.4b-160m,step36000,0.43369266390800476
1.4b-1b,step36000,0.4722706377506256
14m-1b,step36000,0.3932798206806183
14m-160m,step36000,0.424655944108963
1.4b-410m,step36000,0.48440366983413696
14m-410m,step36000,0.3900459110736847
14m-70m,step36000,0.4012385606765747
1.4b-70m,step36000,0.4433027505874634
160m-1b,step36000,0.4359862208366394
160m-410m,step36000,0.43883025646209717
160m-70m,step36000,0.46860089898109436
1b-70m,step36000,0.4697018563747406
410m-70m,step36000,0.4588761329650879
1.4b-14m,step36000,0.38502293825149536
1.4b-160m,step36000,0.43369266390800476
1b-410m,step36000,0.47009173035621643
1.4b-410m,step36000,0.48440366983413696
1.4b-1b,step36000,0.4722706377506256
14m-160m,step36000,0.424655944108963
14m-410m,step36000,0.3900459110736847
14m-1b,step36000,0.3932798206806183
14m-70m,step36000,0.4012385606765747
1.4b-70m,step36000,0.4433027505874634
160m-1b,step36000,0.4359862208366394
160m-70m,step36000,0.46860089898109436
1b-410m,step36000,0.47009173035621643
160m-410m,step36000,0.43883025646209717
1b-70m,step36000,0.4697018563747406
410m-70m,step36000,0.4588761329650879
1.4b-14m,step43000,0.3769495487213135
1.4b-160m,step43000,0.4183945059776306
1.4b-410m,step43000,0.48584863543510437
1.4b-1b,step43000,0.6126375794410706
14m-160m,step43000,0.4324311912059784
1.4b-70m,step43000,0.4823165237903595
14m-410m,step43000,0.4052063822746277
160m-1b,step43000,0.42591744661331177
14m-1b,step43000,0.3921559453010559
14m-70m,step43000,0.41600918769836426
160m-70m,step43000,0.4306192696094513
160m-410m,step43000,0.4332568645477295
410m-70m,step43000,0.4612155854701996
1.4b-160m,step43000,0.4183945059776306
1b-70m,step43000,0.4539220333099365
1.4b-14m,step43000,0.3769495487213135
1.4b-1b,step43000,0.6126375794410706
1b-410m,step43000,0.4757339656352997
1.4b-410m,step43000,0.48584863543510437
1.4b-70m,step43000,0.4823165237903595
160m-410m,step43000,0.4332568645477295
14m-1b,step43000,0.3921559453010559
14m-70m,step43000,0.41600918769836426
14m-160m,step43000,0.4324311912059784
14m-410m,step43000,0.4052063822746277
160m-1b,step43000,0.42591744661331177
410m-70m,step43000,0.4612155854701996
1b-410m,step43000,0.4757339656352997
160m-70m,step43000,0.4306192696094513
1b-70m,step43000,0.4539220333099365
14m-160m,step50000,0.3977522850036621
1.4b-160m,step50000,0.3434862196445465
1.4b-14m,step50000,0.3160320818424225
1.4b-70m,step50000,0.4496100842952728
1.4b-1b,step50000,0.4991055428981781
14m-1b,step50000,0.3706880509853363
14m-410m,step50000,0.4049999713897705
1.4b-410m,step50000,0.44811928272247314
14m-70m,step50000,0.39016053080558777
160m-70m,step50000,0.41983941197395325
160m-410m,step50000,0.4263990819454193
160m-1b,step50000,0.43217891454696655
1b-410m,step50000,0.48197242617607117
1b-70m,step50000,0.46307337284088135
410m-70m,step50000,0.46573394536972046
1.4b-160m,step57000,0.4235321283340454
1.4b-14m,step57000,0.3438761234283447
1.4b-1b,step57000,0.5490825772285461
14m-160m,step57000,0.38272935152053833
1.4b-410m,step57000,0.5188302397727966
1.4b-70m,step57000,0.4567889869213104
14m-70m,step57000,0.3823394477367401
14m-410m,step57000,0.37543579936027527
14m-1b,step57000,0.3772706091403961
160m-1b,step57000,0.44419723749160767
160m-410m,step57000,0.4447706639766693
160m-70m,step57000,0.4667201340198517
1b-70m,step57000,0.4522935748100281
1b-410m,step57000,0.4938531816005707
1.4b-14m,step57000,0.3438761234283447
1.4b-160m,step57000,0.4235321283340454
410m-70m,step57000,0.4866284132003784
1.4b-1b,step57000,0.5490825772285461
1.4b-410m,step57000,0.5188302397727966
14m-70m,step57000,0.3823394477367401
1.4b-70m,step57000,0.4567889869213104
14m-410m,step57000,0.37543579936027527
14m-160m,step57000,0.38272935152053833
160m-1b,step57000,0.44419723749160767
14m-1b,step57000,0.3772706091403961
160m-70m,step57000,0.4667201340198517
160m-410m,step57000,0.4447706639766693
1b-70m,step57000,0.4522935748100281
410m-70m,step57000,0.4866284132003784
1b-410m,step57000,0.4938531816005707
1.4b-14m,step64000,0.3476375937461853
1.4b-160m,step64000,0.4491284489631653
1.4b-1b,step64000,0.46827980875968933
1.4b-410m,step64000,0.5411009192466736
14m-160m,step64000,0.38222476840019226
14m-410m,step64000,0.3629586696624756
14m-70m,step64000,0.13190367817878723
1.4b-70m,step64000,0.17862387001514435
14m-1b,step64000,0.35568803548812866
160m-70m,step64000,0.20387612283229828
160m-1b,step64000,0.4845641851425171
1b-410m,step64000,0.49784404039382935
